ANO_ESCOLAR	RBD	NOMBRE_ESTA	TIPO_DEPENDENCIA	RURAL_ESTAB	CP_REGION	NOM_REGION	COD_COMUNA	NOM_COMUNA	TOTAL_MATRICULA	TOTAL_DOCENTES	TOTAL_ASISTENTES
2013	15585	COLEGIO CRISTIANO RESURRECCION	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	370	17	15
2013	15586	COLEGIO TIA MONICA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	96	6	10
2013	15588	SAINT GREGORY COLLEGE	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	112	11	6
2013	15589	COLEGIO ALCALDE PEDRO URBINA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6112	PEUMO                                             	339	23	6
2013	15593	COLEGIO AMERICANO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	610	31	13
2013	15594	COLEG.TERESIANO JUANITA FERNANDEZ SOLAR	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	246	20	22
2013	15595	JARDIN INFANTIL ARDILLITA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	60	3	10
2013	15596	INSTITUTO SAN VICENTE DE TAGUA TAGUA	1	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	889	54	22
2013	15597	COLEGIO PROVIDENCIA JARDIN INFANTIL	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	21	3	0
2013	15582	COLEGIO SAN MIGUEL ARCANGEL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	57	4	8
2013	15600	ALBERTO HURTADO CRUCHAGA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6105	DOÑIHUE                                           	357	26	9
